0.093 0.380343 -nan -nan 7.16985 0.127048 -nan -nan 0.817984 -nan -nan 3 -nan -nan
0.09207 0.376646 -nan -nan 7.13062 0.127272 -nan -nan 0.783744 -nan -nan 3 -nan -nan
0.09114 0.372991 10.371 -1798.1 7.09077 0.127542 0.00170007 0.00340014 0.751848 1.84964 3.71303 4 3.02706 0.49085
0.09021 0.369375 10.3305 -1798.32 7.05028 0.127858 0.00312621 0.00625242 0.72206 2.58986 4.91248 4 8.4546 1.37277
0.08928 0.364361 10.2893 -1798.5 7.00962 0.128527 0.00427917 0.00855833 0.706053 3.08337 5.6871 4 14.5853 2.33436
0.08835 0.36089 10.248 -1798.72 6.96711 0.128922 0.00535968 0.0107194 0.67935 3.5409 6.25314 4 22.4992 3.60722
0.08742 0.357446 10.2062 -1798.94 6.92395 0.129356 0.00634407 0.0126881 0.654239 3.94211 6.7041 4 31.6391 5.08142
0.08649 0.354025 10.1639 -1799.17 6.88015 0.12983 0.00423092 0.00846185 0.630581 3.69791 5.86429 3 157.245 25.2985
0.08556 0.350627 10.1211 -1799.39 6.83567 0.130341 0.00516747 0.0103349 0.608257 3.66026 6.01762 3 159.431 25.6953
0.08463 0.347244 10.0778 -1799.61 6.79058 0.130887 0.00617916 0.0123583 0.587098 3.61012 6.1491 3 159.777 25.7991
0.0837 0.343181 10.034 -1799.8 6.74316 0.131643 0.00720981 0.0144196 0.572888 3.64156 6.35649 3 170.014 27.2685
0.08277 0.339849 9.98973 -1800.02 6.69636 0.132257 0.0083801 0.0167602 0.553678 3.57838 6.46293 3 168.164 27.0281
0.08184 0.336519 9.94487 -1800.25 6.64888 0.132905 0.00963312 0.0192662 0.535436 3.51389 6.56267 3 165.85 26.7123
0.08091 0.333188 9.89945 -1800.47 6.60071 0.133587 0.0109716 0.0219432 0.518091 3.44931 6.65773 3 163.254 26.3503
0.07998 0.329854 9.85345 -1800.7 6.55185 0.134302 0.0123984 0.0247968 0.501575 3.38539 6.74951 3 160.495 25.9613
0.07905 0.326227 9.80688 -1800.9 6.50092 0.135127 0.0138803 0.0277606 0.488158 3.3563 6.87545 3 161.97 26.16
