0.097 -nan -nan -nan -nan -nan -nan
0.096 -nan -nan -nan -nan -nan -nan
0.095 -nan -nan -nan -nan -nan -nan
0.094 -nan -nan -nan -nan -nan -nan
0.093 -nan -nan -nan -nan -nan -nan
0.092 -nan -nan -nan -nan -nan -nan
0.091 -nan -nan -nan -nan -nan -nan
0.09 10.3842 10.3846 10.3845 10.3843 10.3842 10.3842
0.089 10.3404 10.341 10.3408 10.3405 10.3404 10.3405
0.088 10.2961 10.2968 10.2965 10.2961 10.2961 10.2961
0.087 10.2512 10.252 10.2517 10.2512 10.2512 10.2513
0.086 10.2057 10.2067 10.2063 10.2057 10.2058 10.206
0.085 10.1597 10.1608 10.1604 10.1597 10.1599 10.1602
0.084 10.1131 10.1143 10.1139 10.1131 10.1134 10.1138
0.083 10.066 10.0673 10.0667 10.066 10.0664 10.0668
0.082 10.0182 10.0196 10.0191 10.0182 10.0188 10.0193
0.081 9.96984 9.9713 9.9707 9.96984 9.9706 9.97117
0.08 9.92078 9.92229 9.92165 9.92078 9.92171 9.92238
0.079 9.87106 9.87258 9.87191 9.87106 9.87217 9.87292
0.078 9.8207 9.82224 9.82154 9.8207 9.82199 9.82285
0.077 9.76955 9.77108 9.77035 9.76955 9.77105 9.772
0.076 9.71766 9.71915 9.7184 9.71766 9.71936 9.72043
0.075 9.665 9.66643 9.66567 9.665 9.66692 9.66809
0.074 9.61155 9.6129 9.61213 9.61155 9.6137 9.61499
0.073 9.55729 9.55854 9.55776 9.55729 9.55966 9.56107
0.072 9.50218 9.50331 9.50253 9.50218 9.5048 9.50633
0.071 9.44622 9.4472 9.44643 9.44622 9.44908 9.45073
0.07 9.38937 9.39019 9.38942 9.38937 9.39248 9.39426
0.069 9.33132 9.33207 9.33132 9.33147 9.33485 9.33675
0.068 9.27244 9.27318 9.27244 9.27278 9.27643 9.27846
0.067 9.21241 9.21311 9.21241 9.21299 9.2169 9.21907
0.066 9.15155 9.15223 9.15155 9.15236 9.15655 9.15885
0.065 9.08942 9.09006 9.08942 9.09052 9.09498 9.09742
0.064 9.02633 9.02693 9.02633 9.02772 9.03247 9.03505
0.063 8.96214 8.96269 8.96214 8.96384 8.96888 8.9716
0.062 8.89681 8.89731 8.89681 8.89885 8.90419 8.90705
0.061 8.83034 8.83078 8.83034 8.83274 8.83837 8.84137
0.06 8.76267 8.76305 8.76267 8.76546 8.77138 8.77454
0.059 8.69379 8.6941 8.69379 8.69698 8.70322 8.70651
